Sr_ no_,Urban_Peri Urban,Province,city,Region,District,Belts,GPS,S1,S2,S3,S4,S5,S7,Q1,National Grid,Local mini-grid1,Generator,Solar energy,es9_1,es9_2,es9_3,es9_4,es9_5,es9_6,es9_7,es9_8,es9_9,es9_10,es9_11,es9_12,es9_13,es9_14,es9_15,es9_16,es13a_1,es13a_2,es13a_3,es13a_4,es13a_5,es13a_6,es13a_7,es13a_8,es13a_9,es13a_10,Amount,ES20,HH4_1,HH4_2,HH4_3,HH4_4,HH4_5,HH4_6,HH4_7,HH4_8,HH4_9,HH4_10,HH4_11,HH4_12,Repairing House_Rent,Food,Lightning_Energy_Fuel,Transport,Clothes,Health care
1,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9000,0,500,0,0
2,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,7000,0,1000,0,0
3,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,3,1,3,2,3,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,3,2,2,2,2,2,2,2,2,2,2,2,2,0,8000,0,1000,0,2000
4,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,7000,0,0,0,2000
5,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,7000,0,0,0,2000
6,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,5000,0,0,0,2200
7,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,2,1,2,2,3,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,5000,0,0,0,1500
8,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,6000,0,500,0,1000
9,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4500,0,0,0,1000
10,Rural,Sindh,Sanghar,Karachi,Karachi District,Lower Sindh,"26.0433432,68.9121584",1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,3,1,2,2,2,2,2,2,2,2,2,2,2,500,600,0,0,0,100
